timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784906533545,95,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1469,326,1,1,http://localhost:5000/api/auth/login,90,0,19
1784906534169,4,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1778,444,1,1,http://localhost:5000/,4,0,0
1784906534684,4,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-1,text,true,,488575,459,1,1,http://localhost:5000/assets/index.js,3,0,0
1784906535196,4,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-1,text,true,,49971,460,1,1,http://localhost:5000/assets/index.css,3,0,0
1784906535701,487,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1187,463,2,2,http://localhost:5000/api/dashboard/stats,487,0,0
1784906536488,66,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1469,326,2,2,http://localhost:5000/api/auth/login,65,0,1
1784906536689,163,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-1,text,true,,10079,473,2,2,http://localhost:5000/api/patients?page=36&limit=20,163,0,0
1784906537063,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1778,444,2,2,http://localhost:5000/,3,0,0
1784906537577,4,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-2,text,true,,488575,459,2,2,http://localhost:5000/assets/index.js,3,0,0
1784906537360,349,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1129,482,2,2,http://localhost:5000/api/patients?search=wt&page=1&limit=20,349,0,0
1784906538091,3,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-2,text,true,,49971,460,2,2,http://localhost:5000/assets/index.css,3,0,0
1784906538596,468,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1187,463,3,3,http://localhost:5000/api/dashboard/stats,468,0,0
1784906539492,64,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-3,text,true,,1469,326,3,3,http://localhost:5000/api/auth/login,64,0,1
1784906539568,163,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-2,text,true,,9980,473,3,3,http://localhost:5000/api/patients?page=44&limit=20,163,0,0
1784906540067,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-3,text,true,,1778,444,3,3,http://localhost:5000/,3,0,0
1784906540238,324,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1129,482,3,3,http://localhost:5000/api/patients?search=px&page=1&limit=20,324,0,0
1784906540579,5,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-3,text,true,,488575,459,3,3,http://localhost:5000/assets/index.js,3,0,0
1784906541090,2,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-3,text,true,,49971,460,3,3,http://localhost:5000/assets/index.css,2,0,0
1784906541593,484,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-3,text,true,,1187,463,4,4,http://localhost:5000/api/dashboard/stats,483,0,0
1784906542489,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-4,text,true,,1469,326,4,4,http://localhost:5000/api/auth/login,65,0,1
1784906542582,147,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-3,text,true,,9818,472,4,4,http://localhost:5000/api/patients?page=4&limit=20,147,0,0
1784906543067,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-4,text,true,,1778,444,4,4,http://localhost:5000/,3,0,0
1784906538216,5193,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-1,text,true,,11189,459,4,4,http://localhost:5000/api/patients/19,5193,0,0
1784906543237,282,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-3,text,true,,1129,482,4,4,http://localhost:5000/api/patients?search=pg&page=1&limit=20,282,0,0
1784906543577,6,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-4,text,true,,488575,459,4,4,http://localhost:5000/assets/index.js,3,0,0
1784906544089,3,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-4,text,true,,49971,460,4,4,http://localhost:5000/assets/index.css,2,0,0
1784906543919,378,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1775,460,4,4,http://localhost:5000/api/appointments,378,0,0
1784906544798,64,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1469,543,4,4,http://localhost:5000/api/auth/login,64,0,0
1784906544605,484,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-4,text,true,,1187,463,5,5,http://localhost:5000/api/dashboard/stats,484,0,0
1784906545365,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1778,444,5,5,http://localhost:5000/,3,0,0
1784906545492,66,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-5,text,true,,1469,326,5,5,http://localhost:5000/api/auth/login,66,0,1
1784906545601,184,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-4,text,true,,10048,473,5,5,http://localhost:5000/api/patients?page=43&limit=20,184,0,0
1784906545880,6,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-1,text,true,,488575,459,5,5,http://localhost:5000/assets/index.js,4,0,0
1784906546069,2,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-5,text,true,,1778,444,5,5,http://localhost:5000/,2,0,0
1784906546396,2,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-1,text,true,,49971,460,5,5,http://localhost:5000/assets/index.css,2,0,0
1784906546583,3,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-5,text,true,,488575,459,5,5,http://localhost:5000/assets/index.js,2,0,0
1784906546288,329,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-4,text,true,,1129,482,5,5,http://localhost:5000/api/patients?search=mn&page=1&limit=20,329,0,0
1784906541075,5691,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-2,text,true,,12373,459,5,5,http://localhost:5000/api/patients/31,5691,0,0
1784906547097,2,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-5,text,true,,49971,460,5,5,http://localhost:5000/assets/index.css,2,0,0
1784906546910,481,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1187,463,5,5,http://localhost:5000/api/dashboard/stats,481,0,0
1784906547269,374,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1775,460,5,5,http://localhost:5000/api/appointments,374,0,0
1784906547894,164,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-1,text,true,,10181,473,6,6,http://localhost:5000/api/patients?page=15&limit=20,164,0,0
1784906547610,510,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-5,text,true,,1187,463,6,6,http://localhost:5000/api/dashboard/stats,510,0,0
1784906548144,63,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1469,543,6,6,http://localhost:5000/api/auth/login,63,0,0
