timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784906700076,88,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1469,326,1,1,http://localhost:5000/api/auth/login,84,0,19
1784906700699,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1778,444,1,1,http://localhost:5000/,2,0,0
1784906701203,4,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,488575,459,2,2,http://localhost:5000/assets/index.js,3,0,0
1784906701212,60,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1469,326,2,2,http://localhost:5000/api/auth/login,60,0,1
1784906701722,1,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,49971,460,2,2,http://localhost:5000/assets/index.css,1,0,0
1784906701783,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1778,444,2,2,http://localhost:5000/,2,0,0
1784906702286,4,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,488575,459,3,3,http://localhost:5000/assets/index.js,3,0,0
1784906702420,60,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1469,326,3,3,http://localhost:5000/api/auth/login,60,0,1
1784906702226,483,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1188,463,3,3,http://localhost:5000/api/dashboard/stats,483,0,0
1784906702792,3,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,49971,460,3,3,http://localhost:5000/assets/index.css,3,0,0
1784906702994,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1778,444,3,3,http://localhost:5000/,2,0,0
1784906703210,147,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,10047,473,4,4,http://localhost:5000/api/patients?page=48&limit=20,146,0,0
1784906703499,2,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,488575,459,4,4,http://localhost:5000/assets/index.js,2,0,0
1784906703616,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,1469,326,4,4,http://localhost:5000/api/auth/login,61,0,0
1784906703299,489,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1188,463,4,4,http://localhost:5000/api/dashboard/stats,489,0,0
1784906704006,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,49971,460,4,4,http://localhost:5000/assets/index.css,1,0,0
1784906704178,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,1778,444,4,4,http://localhost:5000/,2,0,0
1784906703865,442,07 GET /api/patients?search= (name search),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1129,482,5,5,http://localhost:5000/api/patients?search=nz&page=1&limit=20,442,0,0
1784906704290,162,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,10045,473,5,5,http://localhost:5000/api/patients?page=21&limit=20,162,0,0
1784906704681,3,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,488575,459,5,5,http://localhost:5000/assets/index.js,2,0,0
1784906704816,62,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-5,text,true,,1469,326,5,5,http://localhost:5000/api/auth/login,62,0,1
1784906704509,480,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1188,463,5,5,http://localhost:5000/api/dashboard/stats,480,0,0
1784906705185,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,49971,460,5,5,http://localhost:5000/assets/index.css,2,0,0
