timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784912271188,118,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1486,326,1,1,http://localhost:5000/api/auth/login,115,0,18
1784912271842,5,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1795,444,1,1,http://localhost:5000/,5,0,0
1784912272355,4,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-1,text,true,,233662,459,1,1,http://localhost:5000/assets/index.js,4,0,0
1784912272869,3,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-1,text,true,,29024,460,1,1,http://localhost:5000/assets/index.css,3,0,0
1784912273373,100,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1220,463,1,1,http://localhost:5000/api/dashboard/stats,100,0,0
1784912273975,30,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-1,text,true,,10783,473,2,2,http://localhost:5000/api/patients?page=24&limit=20,30,0,0
1784912274147,66,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1486,326,2,2,http://localhost:5000/api/auth/login,66,0,2
1784912274520,8,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1161,482,2,2,http://localhost:5000/api/patients?search=lc&page=1&limit=20,8,0,0
1784912274723,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1795,444,2,2,http://localhost:5000/,2,0,0
1784912275035,11,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-1,text,true,,11224,459,2,2,http://localhost:5000/api/patients/12,11,0,0
1784912275236,4,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-2,text,true,,233662,459,2,2,http://localhost:5000/assets/index.js,3,0,0
1784912275549,7,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1807,460,2,2,http://localhost:5000/api/appointments,7,0,0
1784912275751,4,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-2,text,true,,29024,460,2,2,http://localhost:5000/assets/index.css,3,0,0
1784912276062,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1486,543,2,2,http://localhost:5000/api/auth/login,65,0,0
1784912276255,4,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1219,463,2,2,http://localhost:5000/api/dashboard/stats,4,0,0
1784912276628,2,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1795,444,2,2,http://localhost:5000/,2,0,0
1784912276762,25,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-2,text,true,,10697,472,3,3,http://localhost:5000/api/patients?page=1&limit=20,25,0,0
1784912277132,4,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-1,text,true,,233662,459,3,3,http://localhost:5000/assets/index.js,3,0,0
1784912277136,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-3,text,true,,1486,326,3,3,http://localhost:5000/api/auth/login,65,0,1
1784912277291,7,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1161,482,3,3,http://localhost:5000/api/patients?search=xe&page=1&limit=20,7,0,0
1784912277648,3,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-1,text,true,,29024,460,3,3,http://localhost:5000/assets/index.css,3,0,0
1784912277710,3,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-3,text,true,,1795,444,3,3,http://localhost:5000/,3,0,0
1784912277805,10,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-2,text,true,,10580,459,3,3,http://localhost:5000/api/patients/38,10,0,0
1784912278162,3,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1219,463,3,3,http://localhost:5000/api/dashboard/stats,3,0,0
1784912278224,3,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-3,text,true,,233662,459,3,3,http://localhost:5000/assets/index.js,3,0,0
1784912278331,3,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1806,460,3,3,http://localhost:5000/api/appointments,3,0,0
1784912278675,24,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-1,text,true,,10886,472,3,3,http://localhost:5000/api/patients?page=7&limit=20,24,0,0
1784912278737,2,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-3,text,true,,29024,460,3,3,http://localhost:5000/assets/index.css,2,0,0
1784912278847,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1486,543,3,3,http://localhost:5000/api/auth/login,65,0,0
1784912279200,7,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1161,482,3,3,http://localhost:5000/api/patients?search=fr&page=1&limit=20,7,0,0
1784912279241,2,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-3,text,true,,1219,463,3,3,http://localhost:5000/api/dashboard/stats,2,0,0
1784912279414,4,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-2,text,true,,1795,444,3,3,http://localhost:5000/,3,0,0
1784912279708,4,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-1,text,true,,10579,459,4,4,http://localhost:5000/api/patients/38,4,0,0
1784912279744,24,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-3,text,true,,10660,473,4,4,http://localhost:5000/api/patients?page=10&limit=20,24,0,0
1784912279919,3,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-2,text,true,,233662,459,4,4,http://localhost:5000/assets/index.js,2,0,0
1784912280139,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-4,text,true,,1486,326,4,4,http://localhost:5000/api/auth/login,65,0,2
1784912280215,3,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1806,460,4,4,http://localhost:5000/api/appointments,3,0,0
1784912280278,6,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-3,text,true,,1161,482,4,4,http://localhost:5000/api/patients?search=ml&page=1&limit=20,6,0,0
1784912280433,3,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-2,text,true,,29024,460,4,4,http://localhost:5000/assets/index.css,3,0,0
1784912280727,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-1,text,true,,1486,543,4,4,http://localhost:5000/api/auth/login,65,0,0
1784912280727,67,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-4,text,true,,1795,444,4,4,http://localhost:5000/,67,0,0
1784912280788,12,08 GET /api/patients/{id} (record with history),200,OK,Light Load - 10 users over 30s 1-3,text,true,,10603,458,4,4,http://localhost:5000/api/patients/9,12,0,0
1784912280943,2,05 GET /api/dashboard/stats,200,OK,Light Load - 10 users over 30s 1-2,text,true,,1219,463,4,4,http://localhost:5000/api/dashboard/stats,2,0,0
1784912281302,3,09 GET /api/appointments (day view),200,OK,Light Load - 10 users over 30s 1-3,text,true,,1806,460,4,4,http://localhost:5000/api/appointments,3,0,0
1784912281302,4,02 GET / (index.html),200,OK,Light Load - 10 users over 30s 1-1,text,true,,1795,444,4,4,http://localhost:5000/,4,0,0
1784912281302,6,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-4,text,true,,233662,459,4,4,http://localhost:5000/assets/index.js,5,0,0
1784912281459,23,06 GET /api/patients (paginated list),200,OK,Light Load - 10 users over 30s 1-2,text,true,,10835,473,4,4,http://localhost:5000/api/patients?page=28&limit=20,23,0,0
1784912281815,65,04 GET /assets/index.css,200,OK,Light Load - 10 users over 30s 1-4,text,true,,29024,460,4,4,http://localhost:5000/assets/index.css,65,0,0
1784912281815,65,01 POST /api/auth/login,200,OK,Light Load - 10 users over 30s 1-3,text,true,,1486,543,4,4,http://localhost:5000/api/auth/login,65,0,0
1784912281815,67,03 GET /assets/index.js (main bundle),200,OK,Light Load - 10 users over 30s 1-1,text,true,,233662,459,4,4,http://localhost:5000/assets/index.js,66,0,0
1784912281985,18,07 GET /api/patients?search= (name search),200,OK,Light Load - 10 users over 30s 1-2,text,true,,10708,482,4,4,http://localhost:5000/api/patients?search=gu&page=1&limit=20,18,0,0
