timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784912409017,91,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1486,326,1,1,http://localhost:5000/api/auth/login,88,0,20
1784912409650,3,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1795,444,1,1,http://localhost:5000/,3,0,0
1784912410162,3,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,233662,459,2,2,http://localhost:5000/assets/index.js,3,0,0
1784912410179,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1486,326,2,2,http://localhost:5000/api/auth/login,61,0,1
1784912410671,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,29024,460,2,2,http://localhost:5000/assets/index.css,2,0,0
1784912410749,3,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1795,444,2,2,http://localhost:5000/,3,0,0
1784912411175,82,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1220,463,3,3,http://localhost:5000/api/dashboard/stats,82,0,0
1784912411254,6,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,233662,459,3,3,http://localhost:5000/assets/index.js,5,0,0
1784912411373,70,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1486,326,3,3,http://localhost:5000/api/auth/login,70,0,1
1784912411763,3,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,29024,460,3,3,http://localhost:5000/assets/index.css,3,0,0
1784912411761,23,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,10675,473,3,3,http://localhost:5000/api/patients?page=25&limit=20,23,0,0
1784912411948,3,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1795,444,3,3,http://localhost:5000/,3,0,0
1784912412267,2,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1219,463,4,4,http://localhost:5000/api/dashboard/stats,2,0,0
1784912412286,5,07 GET /api/patients?search= (name search),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1161,482,4,4,http://localhost:5000/api/patients?search=zn&page=1&limit=20,5,0,0
1784912412452,2,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,233662,459,4,4,http://localhost:5000/assets/index.js,2,0,0
1784912412571,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,1486,326,4,4,http://localhost:5000/api/auth/login,61,0,1
1784912412771,24,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,10808,473,4,4,http://localhost:5000/api/patients?page=21&limit=20,24,0,0
1784912412803,6,08 GET /api/patients/{id} (record with history),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,8760,459,4,4,http://localhost:5000/api/patients/35,6,0,0
1784912412958,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,29024,460,4,4,http://localhost:5000/assets/index.css,1,0,0
1784912413134,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,1795,444,4,4,http://localhost:5000/,2,0,0
1784912413297,5,07 GET /api/patients?search= (name search),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1161,482,5,5,http://localhost:5000/api/patients?search=qe&page=1&limit=20,5,0,0
1784912413311,5,09 GET /api/appointments (day view),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1807,460,5,5,http://localhost:5000/api/appointments,5,0,0
1784912413461,3,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1219,463,5,5,http://localhost:5000/api/dashboard/stats,3,0,0
1784912413637,3,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,233662,459,5,5,http://localhost:5000/assets/index.js,3,0,0
1784912413768,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-5,text,true,,1486,326,5,5,http://localhost:5000/api/auth/login,61,0,1
1784912413830,62,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1486,543,5,5,http://localhost:5000/api/auth/login,62,0,0
1784912413814,82,08 GET /api/patients/{id} (record with history),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,11259,459,5,5,http://localhost:5000/api/patients/19,82,0,0
1784912413968,21,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,10796,473,5,5,http://localhost:5000/api/patients?page=15&limit=20,21,0,0
1784912414142,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,29024,460,5,5,http://localhost:5000/assets/index.css,2,0,0
1784912414331,2,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-5,text,true,,1795,444,5,5,http://localhost:5000/,2,0,0
1784912414394,3,02 GET / (index.html),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,1795,444,5,5,http://localhost:5000/,2,0,0
1784912414397,1,09 GET /api/appointments (day view),200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1806,460,5,5,http://localhost:5000/api/appointments,1,0,0
1784912414491,6,07 GET /api/patients?search= (name search),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,1161,482,6,6,http://localhost:5000/api/patients?search=xv&page=1&limit=20,6,0,0
1784912414645,2,05 GET /api/dashboard/stats,200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,1219,463,6,6,http://localhost:5000/api/dashboard/stats,2,0,0
1784912414835,3,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-5,text,true,,233662,459,6,6,http://localhost:5000/assets/index.js,2,0,0
1784912414899,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-2,text,true,,1486,543,6,6,http://localhost:5000/api/auth/login,61,0,0
1784912414897,64,03 GET /assets/index.js (main bundle),200,OK,Moderate Load - 50 users over 60s 2-1,text,true,,233662,459,6,6,http://localhost:5000/assets/index.js,5,0,0
1784912414977,61,01 POST /api/auth/login,200,OK,Moderate Load - 50 users over 60s 2-6,text,true,,1486,326,6,6,http://localhost:5000/api/auth/login,61,0,1
1784912415007,38,08 GET /api/patients/{id} (record with history),200,OK,Moderate Load - 50 users over 60s 2-3,text,true,,10587,459,6,6,http://localhost:5000/api/patients/47,38,0,0
1784912415148,21,06 GET /api/patients (paginated list),200,OK,Moderate Load - 50 users over 60s 2-4,text,true,,10915,473,6,6,http://localhost:5000/api/patients?page=49&limit=20,21,0,0
1784912415350,2,04 GET /assets/index.css,200,OK,Moderate Load - 50 users over 60s 2-5,text,true,,29024,460,6,6,http://localhost:5000/assets/index.css,2,0,0
